algo,size,freq_mhz,joules,time_ms
merge_sort,10000,2000,0.013672000,1.302647000
spectralnorm,3000,2000,11.739075000,1654.627778000
knucleotide,250000,2000,0.896057000,124.854738000
fannkuchredux,11,2000,22.457337000,3262.871187000
binarytrees,16,2000,1.104676000,153.321981000
mandelbrot,1000,2000,0.896912000,139.434515000
bubble_sort,10000,2000,1.106323000,170.435785000
nbody,50000000,2000,37.299256000,6487.395158000
quick_sort,10000,2000,0.012146000,0.867627000
fasta,2500000,2000,6.215149000,625.667415000
merge_sort,10000,2500,0.048889000,5.315742000
spectralnorm,3000,2500,24.200623000,2568.400782000
knucleotide,250000,2500,2.441956000,224.879758000
fannkuchredux,11,2500,33.161743000,4033.783032000
binarytrees,16,2500,2.836242000,255.392189000
mandelbrot,1000,2500,0.813049000,137.116863000
bubble_sort,10000,2500,1.376831000,175.561271000
nbody,50000000,2500,38.144653000,6527.962017000
quick_sort,10000,2500,0.018798000,0.880623000
fasta,2500000,2500,3.827027000,451.797073000
merge_sort,10000,3000,0.032593000,1.308980000
spectralnorm,3000,3000,13.025208000,1960.669799000
knucleotide,250000,3000,1.691101000,170.840044000
fannkuchredux,11,3000,19.393189000,3007.614239000
binarytrees,16,3000,2.141236000,225.720622000
mandelbrot,1000,3000,0.855408000,134.221960000
bubble_sort,10000,3000,1.427734000,178.195099000
nbody,50000000,3000,37.118225000,6488.361413000
quick_sort,10000,3000,0.032532000,4.881320000
fasta,2500000,3000,3.974609000,456.641854000
